Pressure,Temperature,Phase,Author,Notes
400,9000,B1,McWilliams (2012),
480,9000,B2,McWilliams (2012),
650,15100,Liquid,McWilliams (2012),
650,12900,B2,McWilliams (2012),
470,10670,Liquid,Bolis (2016),
470,9050,B2,Bolis (2016),
0.000101325,3340,Liquid,Zerr (1994),
7.591240876,3537.012987,Liquid,Zerr (1994),
12.51824818,3780.519481,Liquid,Zerr (1994),
15.03649635,3754.545455,Liquid,Zerr (1994),
17.99270073,3887.662338,Liquid,Zerr (1994),
22.31751825,4121.428571,Liquid,Zerr (1994),
25.10948905,3929.87013,Liquid,Zerr (1994),
31.56934307,4264.285714,Liquid,Zerr (1994),
0.000101325,2740,B1,Zerr (1994),
7.591240876,2937.012987,B1,Zerr (1994),
12.51824818,3180.519481,B1,Zerr (1994),
15.03649635,3154.545455,B1,Zerr (1994),
17.99270073,3287.662338,B1,Zerr (1994),
22.31751825,3521.428571,B1,Zerr (1994),
25.10948905,3329.87013,B1,Zerr (1994),
31.56934307,3664.285714,B1,Zerr (1994),
0.000101325,3098,Liquid,Dubrovinsky (1997),
20.5,2015,B1,Dewaele (2000),
19.7,2227,B1,Dewaele (2000),
21.3,2474,B1,Dewaele (2000),
22.5,2188,B1,Dewaele (2000),
23.9,2000,B1,Dewaele (2000),
24.5,2349,B1,Dewaele (2000),
31.3,1900,B1,Dewaele (2000),
31.7,2008,B1,Dewaele (2000),
31.4,2097,B1,Dewaele (2000),
53,1964,B1,Dewaele (2000),
25.5,1750,B1,Dewaele (2000),
25,2000,B1,Dewaele (2000),
24,1934,B1,Dewaele (2000),
23.7,2110,B1,Dewaele (2000),
24,2160,B1,Dewaele (2000),
15.5,1750,B1,Dewaele (2000),
16.2,1927,B1,Dewaele (2000),
13.6,1865,B1,Dewaele (2000),
51.86,1870,B1,Dewaele (2000),
52.6,1928,B1,Dewaele (2000),
52.1,1900,B1,Dewaele (2000),
44.5,2223,B1,Dewaele (2000),
42.6,2050,B1,Dewaele (2000),
42.2,2064,B1,Dewaele (2000),
41.5,1950,B1,Dewaele (2000),
48,1908,B1,Dewaele (2000),
48.4,2066,B1,Dewaele (2000),
48.2,2067,B1,Dewaele (2000),
48.2,2050,B1,Dewaele (2000),
52.5,1966,B1,Dewaele (2000),
51.6,1849,B1,Dewaele (2000),
29.3,1980,B1,Dewaele (2000),
28.3,1950,B1,Dewaele (2000),
35,2040,B1,Dewaele (2000),
35,1975,B1,Dewaele (2000),
37,2250,B1,Dewaele (2000),
34.8,2210,B1,Dewaele (2000),
34.7,2320,B1,Dewaele (2000),
34.2,2374,B1,Dewaele (2000),
31.4,2315,B1,Dewaele (2000),
43.6,2200,B1,Dewaele (2000),
36.2,300,B1,Dewaele (2000),
39.2,300,B1,Dewaele (2000),
44.7,300,B1,Dewaele (2000),
24.3,300,B1,Dewaele (2000),
19.5,300,B1,Dewaele (2000),
15.7,300,B1,Dewaele (2000),
12.9,300,B1,Dewaele (2000),
0.8,300,B1,Dewaele (2000),
11.5,300,B1,Dewaele (2000),
0,300,B1,Dewaele (2000),
15.1,300,B1,Dewaele (2000),
17.9,300,B1,Dewaele (2000),
22.6,300,B1,Dewaele (2000),"When both P NaCl and P Au were given, P NaCl was utilized because the pressure medium is NaCl"
29.1,300,B1,Dewaele (2000),
33.5,300,B1,Dewaele (2000),
34.3,300,B1,Dewaele (2000),
20,300,B1,Dewaele (2000),
21,300,B1,Dewaele (2000),
26.6,300,B1,Dewaele (2000),
27.1,300,B1,Dewaele (2000),
0,300,B1,Fei (1999),
0.61,300,B1,Fei (1999),
1.92,300,B1,Fei (1999),
3.45,300,B1,Fei (1999),
5,300,B1,Fei (1999),
6.18,300,B1,Fei (1999),
7.82,300,B1,Fei (1999),
9.73,300,B1,Fei (1999),
12.03,300,B1,Fei (1999),
13.89,300,B1,Fei (1999),
14.77,300,B1,Fei (1999),
16.21,300,B1,Fei (1999),
17.41,300,B1,Fei (1999),
18.33,300,B1,Fei (1999),
18.5,300,B1,Fei (1999),
19.09,300,B1,Fei (1999),
20.55,300,B1,Fei (1999),
21.51,300,B1,Fei (1999),
23.22,300,B1,Fei (1999),
0,1100,B1,Fei (1999),
2.81,1100,B1,Fei (1999),
3.55,1100,B1,Fei (1999),
4.5,1100,B1,Fei (1999),
6.63,1100,B1,Fei (1999),
8.89,1100,B1,Fei (1999),
10.8,1100,B1,Fei (1999),
12.29,1100,B1,Fei (1999),
12.63,1100,B1,Fei (1999),
15.03,1100,B1,Fei (1999),
16.79,1100,B1,Fei (1999),
19.37,1100,B1,Fei (1999),
19.67,1100,B1,Fei (1999),
21.2,1100,B1,Fei (1999),
22.72,1100,B1,Fei (1999),
24.02,1100,B1,Fei (1999),
0.09,300,B1,Fei (1999),
0.08,300,B1,Fei (1999),
1.95,300,B1,Fei (1999),
2.1,300,B1,Fei (1999),
2.05,300,B1,Fei (1999),
4.29,300,B1,Fei (1999),
4.37,300,B1,Fei (1999),
4.76,300,B1,Fei (1999),
6.25,300,B1,Fei (1999),
6.92,300,B1,Fei (1999),
11.03,300,B1,Fei (1999),
15.15,300,B1,Fei (1999),P inferred from Au was used here
18.9,300,B1,Fei (1999),
21.88,300,B1,Fei (1999),
23.53,300,B1,Fei (1999),
27.62,300,B1,Fei (1999),
30.4,300,B1,Fei (1999),
32.24,300,B1,Fei (1999),
33.29,300,B1,Fei (1999),
37.4,300,B1,Fei (1999),
41.12,300,B1,Fei (1999),
45.68,300,B1,Fei (1999),
49.24,300,B1,Fei (1999),
52.55,300,B1,Fei (1999),
58.33,300,B1,Fei (1999),
61.53,300,B1,Fei (1999),
66.32,300,B1,Fei (1999),
0,298,B1,Fiquet (1999),
0,1474,B1,Fiquet (1999),
0,1664,B1,Fiquet (1999),
0,1773,B1,Fiquet (1999),
0,1873,B1,Fiquet (1999),
0,1973,B1,Fiquet (1999),
0,2073,B1,Fiquet (1999),
0,2273,B1,Fiquet (1999),
0,2373,B1,Fiquet (1999),
0,2373,B1,Fiquet (1999),
0,2473,B1,Fiquet (1999),
0,2573,B1,Fiquet (1999),
0,2673,B1,Fiquet (1999),
0,2773,B1,Fiquet (1999),
0,2873,B1,Fiquet (1999),
0,2973,B1,Fiquet (1999),
0,298,B1,Fiquet (1999),
0,421,B1,Fiquet (1999),
0,505,B1,Fiquet (1999),
0,591,B1,Fiquet (1999),
0,694,B1,Fiquet (1999),
0,790,B1,Fiquet (1999),
0,874,B1,Fiquet (1999),
0,964,B1,Fiquet (1999),
0,1052,B1,Fiquet (1999),
0,1120,B1,Fiquet (1999),
0,1211,B1,Fiquet (1999),
0,1281,B1,Fiquet (1999),
0,1335,B1,Fiquet (1999),
0,1446,B1,Fiquet (1999),
0,1557,B1,Fiquet (1999),
0,1738,B1,Fiquet (1999),
0,1901,B1,Fiquet (1999),
0,2036,B1,Fiquet (1999),
0,2153,B1,Fiquet (1999),
0,2262,B1,Fiquet (1999),
0,2385,B1,Fiquet (1999),
0,300,B1,Utsumi (1998),
1.13,300,B1,Utsumi (1998),
2.31,300,B1,Utsumi (1998),
3.42,300,B1,Utsumi (1998),
4.43,300,B1,Utsumi (1998),
5.38,300,B1,Utsumi (1998),
6.23,300,B1,Utsumi (1998),
7.07,300,B1,Utsumi (1998),
7.79,300,B1,Utsumi (1998),
0,300,B1,Utsumi (1998),
3.73,973,B1,Utsumi (1998),
3.56,873,B1,Utsumi (1998),
3.4,773,B1,Utsumi (1998),
3.24,673,B1,Utsumi (1998),
3.1,573,B1,Utsumi (1998),
2.94,473,B1,Utsumi (1998),
2.82,373,B1,Utsumi (1998),
2.73,300,B1,Utsumi (1998),
5.49,1073,B1,Utsumi (1998),
5.25,973,B1,Utsumi (1998),
5.11,873,B1,Utsumi (1998),
4.95,773,B1,Utsumi (1998),
4.8,673,B1,Utsumi (1998),
4.66,573,B1,Utsumi (1998),
4.53,473,B1,Utsumi (1998),
4.4,373,B1,Utsumi (1998),
4.28,300,B1,Utsumi (1998),
7.75,1073,B1,Utsumi (1998),
7.65,973,B1,Utsumi (1998),
7.5,873,B1,Utsumi (1998),
7.34,773,B1,Utsumi (1998),
7.05,673,B1,Utsumi (1998),
6.76,573,B1,Utsumi (1998),
6.47,473,B1,Utsumi (1998),
6.18,373,B1,Utsumi (1998),
5.97,300,B1,Utsumi (1998),
9.15,1073,B1,Utsumi (1998),
9.01,973,B1,Utsumi (1998),
8.89,873,B1,Utsumi (1998),
8.72,773,B1,Utsumi (1998),
8.58,673,B1,Utsumi (1998),
8.42,573,B1,Utsumi (1998),
8.24,473,B1,Utsumi (1998),
8.1,373,B1,Utsumi (1998),
7.97,300,B1,Utsumi (1998),
0,300,B1,Utsumi (1998),
7.66,1073,B1,Utsumi (1998),
6.67,1073,B1,Utsumi (1998),
6.01,1073,B1,Utsumi (1998),
4.82,1073,B1,Utsumi (1998),
4.23,1073,B1,Utsumi (1998),
3.53,673,B1,Utsumi (1998),
5.61,673,B1,Utsumi (1998),
7.82,673,B1,Utsumi (1998),
8.65,1273,B1,Utsumi (1998),
7.91,1273,B1,Utsumi (1998),
7.63,1273,B1,Utsumi (1998),
7.21,1273,B1,Utsumi (1998),
6.34,1273,B1,Utsumi (1998),
5.62,1273,B1,Utsumi (1998),
4.71,1273,B1,Utsumi (1998),
9.52,1673,B1,Utsumi (1998),
8.87,1673,B1,Utsumi (1998),
8.41,1673,B1,Utsumi (1998),
7.89,1673,B1,Utsumi (1998),
6.51,1673,B1,Utsumi (1998),
5.75,1673,B1,Utsumi (1998),
5.15,1673,B1,Utsumi (1998),
0.8,300,B1,Speziale (2001),
1.3,300,B1,Speziale (2001),
3.1,300,B1,Speziale (2001),
4.5,300,B1,Speziale (2001),
5.7,300,B1,Speziale (2001),
6.6,300,B1,Speziale (2001),
7.6,300,B1,Speziale (2001),
8.3,300,B1,Speziale (2001),
9.5,300,B1,Speziale (2001),
10,300,B1,Speziale (2001),
5.7,300,B1,Speziale (2001),
8.7,300,B1,Speziale (2001),
10.6,300,B1,Speziale (2001),
12.5,300,B1,Speziale (2001),
16,300,B1,Speziale (2001),
18.1,300,B1,Speziale (2001),
20.1,300,B1,Speziale (2001),
21.9,300,B1,Speziale (2001),
24,300,B1,Speziale (2001),
26.4,300,B1,Speziale (2001),
29.1,300,B1,Speziale (2001),
31.2,300,B1,Speziale (2001),
33.2,300,B1,Speziale (2001),
35.2,300,B1,Speziale (2001),
37.1,300,B1,Speziale (2001),
39.4,300,B1,Speziale (2001),
41.7,300,B1,Speziale (2001),
43.3,300,B1,Speziale (2001),
46.8,300,B1,Speziale (2001),
48.3,300,B1,Speziale (2001),
50.4,300,B1,Speziale (2001),
52.2,300,B1,Speziale (2001),
0,3150,Liquid,Kimura (2017),Results extrapolated from MgO-FeO melting relations
15.3,4350,Liquid,Kimura (2017),
21.5,4770,Liquid,Kimura (2017),
25.6,5190,Liquid,Kimura (2017),Results extrapolated from MgO-FeO melting relations
31.5,5360,Liquid,Kimura (2017),
31.5,5120,Liquid,Kimura (2017),
39,5550,Liquid,Kimura (2017),
45.3,5790,Liquid,Kimura (2017),
0,2870,B1,Kimura (2017),
15.3,3950,B1,Kimura (2017),
21.5,4330,B1,Kimura (2017),
25.6,4610,B1,Kimura (2017),
31.5,5060,B1,Kimura (2017),
31.5,4980,B1,Kimura (2017),
39,4950,B1,Kimura (2017),
45.3,5410,B1,Kimura (2017),
3,3800,Liquid,Zhang (2008),
5,4360,Liquid,Zhang (2008),
7,4740,Liquid,Zhang (2008),
3,3600,B1,Zhang (2008),
5,4040,B1,Zhang (2008),
7,4340,B1,Zhang (2008),
3,3700,Liquid,Du (2014),
11,3950,Liquid,Du (2014),
27,5100,Liquid,Du (2014),
40,6200,Liquid,Du (2014),
3,3200,B1,Du (2014),
11,3450,B1,Du (2014),
27,4400,B1,Du (2014),
40,5400,B1,Du (2014),
19.77777778,1477.419355,B1,Ye (2017),
24.22222222,1529.032258,B1,Ye (2017),
19.55555556,1593.548387,B1,Ye (2017),
22.66666667,1683.870968,B1,Ye (2017),
24.88888889,1645.16129,B1,Ye (2017),
26,1574.193548,B1,Ye (2017),
27.55555556,1606.451613,B1,Ye (2017),
28.22222222,1709.677419,B1,Ye (2017),
25.77777778,1722.580645,B1,Ye (2017),
27.11111111,1658.064516,B1,Ye (2017),
27.55555556,1670.967742,B1,Ye (2017),
27.11111111,1690.322581,B1,Ye (2017),
25.77777778,1703.225806,B1,Ye (2017),
27.33333333,1761.290323,B1,Ye (2017),
28.66666667,1658.064516,B1,Ye (2017),
26,1645.16129,B1,Ye (2017),
26.66666667,1709.677419,B1,Ye (2017),
19.55555556,1812.903226,B1,Ye (2017),
19.33333333,1825.806452,B1,Ye (2017),
20.44444444,1780.645161,B1,Ye (2017),
20.66666667,1774.193548,B1,Ye (2017),
24.66666667,1825.806452,B1,Ye (2017),
22,1793.548387,B1,Ye (2017),
22.88888889,1883.870968,B1,Ye (2017),
23.33333333,1851.612903,B1,Ye (2017),
24.22222222,1870.967742,B1,Ye (2017),
22.66666667,1870.967742,B1,Ye (2017),
28.66666667,1819.354839,B1,Ye (2017),
26.22222222,1858.064516,B1,Ye (2017),
30,1877.419355,B1,Ye (2017),
28.66666667,1864.516129,B1,Ye (2017),
29.33333333,1922.580645,B1,Ye (2017),
29.11111111,1935.483871,B1,Ye (2017),
24.44444444,1987.096774,B1,Ye (2017),
26.44444444,1967.741935,B1,Ye (2017),
22.88888889,2019.354839,B1,Ye (2017),
20,2077.419355,B1,Ye (2017),
19.77777778,2045.16129,B1,Ye (2017),
19.77777778,2032.258065,B1,Ye (2017),
19.77777778,2019.354839,B1,Ye (2017),
22.88888889,2083.870968,B1,Ye (2017),
22.22222222,2122.580645,B1,Ye (2017),
24.22222222,2077.419355,B1,Ye (2017),
21.55555556,1967.741935,B1,Ye (2017),
22.22222222,2012.903226,B1,Ye (2017),
35.11111111,2303.225806,B1,Ye (2017),
33.33333333,2038.709677,B1,Ye (2017),
32.88888889,1922.580645,B1,Ye (2017),
32.44444444,1870.967742,B1,Ye (2017),
32,1767.741935,B1,Ye (2017),
34.44444444,1761.290323,B1,Ye (2017),
32.22222222,1761.290323,B1,Ye (2017),
31.55555556,1593.548387,B1,Ye (2017),
32.66666667,1632.258065,B1,Ye (2017),
34.66666667,1651.612903,B1,Ye (2017),
36,1638.709677,B1,Ye (2017),
34.22222222,1606.451613,B1,Ye (2017),
33.77777778,1529.032258,B1,Ye (2017),
34.22222222,1522.580645,B1,Ye (2017),
35.77777778,1496.774194,B1,Ye (2017),
33.11111111,1464.516129,B1,Ye (2017),
38.44444444,1587.096774,B1,Ye (2017),
38.44444444,1567.741935,B1,Ye (2017),
39.77777778,1638.709677,B1,Ye (2017),
40,1735.483871,B1,Ye (2017),
39.11111111,1683.870968,B1,Ye (2017),
37.77777778,1735.483871,B1,Ye (2017),
38,1819.354839,B1,Ye (2017),
37.77777778,1909.677419,B1,Ye (2017),
40.44444444,1980.645161,B1,Ye (2017),
35.33333333,1806.451613,B1,Ye (2017),
41.77777778,2096.774194,B1,Ye (2017),
41.77777778,2058.064516,B1,Ye (2017),
17.33333333,300,B1,Ye (2017),
18.66666667,300,B1,Ye (2017),
19.11111111,300,B1,Ye (2017),
20.44444444,300,B1,Ye (2017),
20.88888889,300,B1,Ye (2017),
22.66666667,300,B1,Ye (2017),
22.88888889,300,B1,Ye (2017),
23.11111111,300,B1,Ye (2017),
23.55555556,300,B1,Ye (2017),
24,300,B1,Ye (2017),
24.44444444,300,B1,Ye (2017),
25.33333333,300,B1,Ye (2017),
28.88888889,300,B1,Ye (2017),
30.66666667,300,B1,Ye (2017),
37.11111111,300,B1,Ye (2017),
40.88888889,300,B1,Ye (2017),
41.77777778,300,B1,Ye (2017),
45.11111111,300,B1,Ye (2017),
43.11111111,300,B1,Ye (2017),
43.77777778,300,B1,Ye (2017),
42.66666667,300,B1,Ye (2017),
48.66666667,300,B1,Ye (2017),
49.77777778,300,B1,Ye (2017),
52.88888889,300,B1,Ye (2017),
